Included Fields,,,,,,,,,,"#3
#4",,,,,
65,Tb,lanthanides,lanthanides,6,terbium,158.9,"+3,4",,,,,,,,
66,Dy,lanthanides,lanthanides,6,dysprosium,162.5,+3,,,,,,,,
67,Ho,lanthanides,lanthanides,6,holmium,164.9,+3,,,,,,,,
68,Er,lanthanides,lanthanides,6,erbium,167.3,+3,,,,,,,,
69,Tm,lanthanides,lanthanides,6,thulium,168.9,"+3,2",,,,,,,,
70,Yb,lanthanides,lanthanides,6,ytterbium,173.0,"+3,2",,,,,,,,
71,Lu,3,lanthanides,6,lutetium,175.0,+3,,,,,,,,
72,Hf,4,IV B,6,hafnium,178.5,+4,,,,,,,,
73,Ta,5,V B,6,tantalum,180.9,+5,,,,,,,,
74,W,6,VI B,6,tungsten,183.8,"+6,4",,,,,,,,
75,Re,7,VII B,6,rhenium,186.2,"+7,4,6",,,,,,,,
76,Os,8,VIII B,6,osmium,190.2,"+4,6,8",,,,,,,,
77,Ir,9,VIII B,6,iridium,192.2,"+4,3,6",,,,,,,,
78,Pt,10,VIII B,6,platinum,195.1,"+4,2",,,,,,,,
79,Au,11,I B,6,gold,197.0,"+3,1",,,,,,,,
80,Hg,12,II B,6,mercury,200.6,"+2,1",,,,,,,,
81,Tl,13,III A,6,thallium,204.4,"+1,3",,,,,,,,
82,Pb,14,IV A,6,lead,207.2,"+2,4",,,,,,,,
83,Bi,15,V A,6,bismuth,209.0,"+3,5",,,,,,,,
84,Po,16,VI A,6,polonium,209,"+4,2",,,,,,,,
85,At,17,VII A,6,astatine,210,,,,,,,,,
86,Rn,18,VIII A,6,radon,222,0,,,,,,,,
87,Fr,1,I A,7,francium,223,+1,,,,,,,,
88,Ra,2,II A,7,radium,226,+2,,,,,,,,
89,Ac,actinides,III B,7,actinium,227,+3,,,,,,,,
90,Th,actinides,actinides,7,thorium,232.0,+4,,,,,,,,
91,Pa,actinides,actinides,7,protactinium,231.0,"+5,4",,,,,,,,
92,U,actinides,actinides,7,uranium,238.0,"+6,3,4,5",,,,,,,,
93,Np,actinides,actinides,7,neptunium,237,"+5,3,4,6",,,,,,,,
94,Pu,actinides,actinides,7,plutonium,239,"+4,3,5,6",,,,,,,,
95,Am,actinides,actinides,7,americium,243,"+3,4,5,6",,,,,,,,
96,Cm,actinides,actinides,7,curium,247,+3,,,,,,,,
97,Bk,actinides,actinides,7,berkelium,247,"+3,4",,,,,,,,
98,Cf,actinides,actinides,7,californium,251,+3,,,,,,,,
99,Es,actinides,actinides,7,einsteinium,252,+3,,,,,,,,
100,Fm,actinides,actinides,7,fermium,257,+3,,,,,,,,
101,Md,actinides,actinides,7,mendelevium,258,"+3,2",,,,,,,,
102,No,actinides,actinides,7,nobelium,259,"+2,3",,,,,,,,
103,Lr,3,actinides,7,lawrencium,262,+3,,,,,,,,
104,Rf,4,IV B,7,rutherfordium,261,,,,,,,,,
105,Db,5,V B,7,dubnium,262,,,,,,,,,
106,Sg,6,VI B,7,seaborgium,266,,,,,,,,,
107,Bh,7,VII B,7,bohrium,264,,,,,,,,,
108,Hs,8,VIII B,7,hassium,277,,,,,,,,,
109,Mt,9,VIII B,7,meitnerium,268,,,,,,,,,
110,Ds,10,VIII B,7,darmstadtium,281,,,,,,,,,
111,Rg,11,I B,7,roentgentium,272,,,,,,,,,
112,Uub,12,II B,7,ununbium,285,,,,,,,,,
113,Uut,13,III A,7,ununtrium,284,,,,,,,,,
114,Uuq,14,IV A,7,ununquadium,289,,,,,,,,,
115,Uup,15,V A,7,ununpentium,288,,,,,,,,,
116,Uuh,16,VI A,7,ununhexium,292,,,,,,,,,
,,,,,,,,,,,,,,,
118,Uuo,18,VIII A,7,ununoctium,294,,,,,,,,,
